@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute bass_x numeric
@attribute bass_y numeric
@attribute bass_vel_x numeric
@attribute bass_vel_y numeric
@attribute drone_x numeric
@attribute drone_y numeric
@attribute drone_vel_x numeric
@attribute drone_vel_y numeric
@attribute drums_x numeric
@attribute drums_y numeric
@attribute drums_vel_x numeric
@attribute drums_vel_y numeric
@attribute BassNoteClassifier {0,1,2,3,4,5}
@attribute BassXY numeric
@attribute BassVel numeric
@attribute BassFollow numeric
@attribute DroneNoteClassifier {0,1,2,3,4}
@attribute DroneXY numeric
@attribute DroneVel numeric
@attribute DroneFollow numeric
@attribute KickNoteClassifier {0,1,2,3,4,5}
@attribute SnareNoteClassifier {0,1,2,3,4,5}
@attribute HihatNoteClassifier {0,1,2,3,4,5}
@attribute SnareXY numeric
@attribute SnareVel numeric
@attribute HihatXY numeric
@attribute HihatVel numeric
@attribute DrumPitch numeric

@data
44,'2018/04/29 13:13:01:651',1,0.5,0.350952,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
45,'2018/04/29 13:13:01:766',1,0.5,0.350056,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
46,'2018/04/29 13:13:01:883',1,0.494444,0.350003,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
47,'2018/04/29 13:13:01:998',1,0.444645,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
48,'2018/04/29 13:13:02:115',1,0.430857,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
49,'2018/04/29 13:13:02:231',1,0.43005,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
50,'2018/04/29 13:13:02:346',1,0.430003,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
51,'2018/04/29 13:13:02:462',1,0.43,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
52,'2018/04/29 13:13:02:562',1,0.43,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
53,'2018/04/29 13:13:02:678',1,0.43,0.33963,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
54,'2018/04/29 13:13:02:794',1,0.43,0.295319,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
55,'2018/04/29 13:13:02:920',1,0.43,0.290312,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
56,'2018/04/29 13:13:03:011',1,0.43,0.290028,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
57,'2018/04/29 13:13:03:126',1,0.43,0.290002,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
58,'2018/04/29 13:13:03:243',1,0.43,0.29,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
59,'2018/04/29 13:13:03:359',1,0.43,0.29,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
60,'2018/04/29 13:13:03:475',1,0.43,0.306914,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
61,'2018/04/29 13:13:03:590',1,0.43,0.346454,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
62,'2018/04/29 13:13:03:706',1,0.43,0.382865,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
63,'2018/04/29 13:13:03:807',1,0.43,0.407179,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
64,'2018/04/29 13:13:03:922',1,0.43,0.448257,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
65,'2018/04/29 13:13:04:038',1,0.43,0.462646,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
66,'2018/04/29 13:13:04:154',1,0.43,0.504814,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
67,'2018/04/29 13:13:04:270',1,0.43,0.509696,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
68,'2018/04/29 13:13:04:386',1,0.43,0.533933,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
69,'2018/04/29 13:13:04:502',1,0.43,0.558182,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
70,'2018/04/29 13:13:04:619',1,0.43,0.559894,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
71,'2018/04/29 13:13:04:735',1,0.426667,0.559994,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
72,'2018/04/29 13:13:04:850',1,0.386133,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
73,'2018/04/29 13:13:04:966',1,0.380359,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
74,'2018/04/29 13:13:05:083',1,0.380021,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
75,'2018/04/29 13:13:05:199',1,0.416202,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
76,'2018/04/29 13:13:05:315',1,0.432526,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
77,'2018/04/29 13:13:05:431',1,0.47382,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
78,'2018/04/29 13:13:05:546',1,0.503589,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
79,'2018/04/29 13:13:05:662',1,0.519039,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
80,'2018/04/29 13:13:05:778',1,0.556144,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
81,'2018/04/29 13:13:05:894',1,0.587726,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
82,'2018/04/29 13:13:06:010',1,0.598756,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
83,'2018/04/29 13:13:06:126',1,0.65139,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
